create_date,tweet_id,similarity,like_count,retweet_count,post_text,claim_number,group,hashtag,tweet_user
2020-07-28T14:04:36.000Z,1288113129889517578,0.0,2823,1050,"The latest round of testing from the Miami Marlins found four new coronavirus positives, sources familiar with the situation told ESPN. That brings the total over the last five days to 17. @Ken_Rosenthal first reported the newest COVID-19 cases.",0,1,,85952
2020-07-28T03:36:37.000Z,1287955090184105984,0.0,54,100,Scammers are cold calling Victorians claiming they've been in close contact to a positive case of #COVID-19 and requesting credit card details over the phone for a $50 mail-out test. It's a scam. For information on testing in your state or territory see https://t.co/7pff3tHSed,0,1,COVID,5342
2020-07-27T21:05:06.000Z,1287856562200088581,0.0,822,428,"“It feels like we’re alone,” Hialeah, FL, Mayor Carlos Hernandez says he feels Gov. DeSantis has forgotten about his city as it struggles with Covid-19 cases. ""Testing is a problem. Our hospitals are getting full capacity right now… We’re in a critical situation.” https://t.co/3eOcz9e7wh",0,1,,78787
2020-07-27T14:54:11.000Z,1287763218933395461,0.0,36687,14982,"The best laid plans of a multi-billion dollar sports league with effectively unlimited resources has made it a week before an outbreak. 

Now consider large, underesourced public school systems. Or, good God, *college dorms* this fall https://t.co/OOCpVXpyRQ",0,1,,80798
2020-04-02T14:37:32.000Z,1245722037869477896,0.4042854033851813,13276,4154,NYC’s case fatality rate for Covid19 is now almost 3%.,57,1,,80798
2020-03-16T21:52:32.000Z,1239670913207095297,0.5671427862960066,3349,386,"More than that we need to take care of each other, all of us together, and think about the kind of society we want where that's the guiding principle even without a pandemic.",61,1,,80798
2020-04-21T21:03:21.000Z,1252704499908644864,0.4818486105464466,895,82,@RandPaul Do you think if every single state lifted all public health orders right now that the economy would just get back to where it was? Do you think people are going to go to restaurants and gyms and malls and sporting events?,281,1,,80798
2020-07-28T22:36:05.000Z,1288241846594895873,0.0,288,90,"COVID-19 data is complicated and easy to misunderstand. It's important to note that the HHS directive requiring hospitals to change reporting systems has *not* affected case and testing data, which comes from state health departments, not hospitals. More in the blog post above.",0,1,,50594
2020-07-28T20:17:51.000Z,1288207058769260550,0.0,246,181,"IMPORTANT. Mississippi currently has the HIGHEST COVID-19 CASE POSITIVITY IN THE NATION. 25%! That means we are not testing enough, that we are not controlling spread. We quite literally do not even know how bad it is. The WHO suggests a positivity rate of &lt;5% before reopening. https://t.co/bPJbikv3WZ",0,1,,71579
2020-07-30T20:01:17.000Z,1288927667392323584,0.0,496,182,"30.07.20 – Covid-19 Amakuru Mashya|Update

*Kigali:13 (abahuye n’abanduye &amp; Abaturarwanda batashye/contacts of positive cases &amp; returning residents), Rusizi:11 &amp; Nyamasheke:4 (bapimwe mu midugudu iri mu kato/testing in villages in lockdown), Kirehe:1, Kayonza:1, Rubavu:1 https://t.co/kMzyRYkFc3",0,1,,83648
2020-07-28T21:05:51.000Z,1288219141325893632,0.0,490,194,"28.07.20 – Covid-19 Amakuru Mashya | Update

*Kigali:36 (bapimwe mu midugudu iri mu kato &amp; abahuye n’abanduye\testing in villages under lockdown &amp; contacts of positive cases), Rusizi:5, Nyamasheke:4, Rulindo:2 https://t.co/GAFkpLGS4V",0,1,,83648
2020-07-27T22:49:59.000Z,1287882957437378561,0.0,380,151,"“It feels like we’re alone.” Hialeah, FL, Mayor Carlos Hernandez, a Republican, says he feels Gov. DeSantis has forgotten about his city as it struggles with Covid-19 cases. ""Testing is a problem. Our hospitals are getting full capacity right now… We’re in a critical situation.” https://t.co/rCwUa90EV2",0,1,,143737
2020-06-26T00:59:02.000Z,1276319022208839680,0.6003677612611324,1059,286,"""I'm still pretty disappointed,"" says Bill Gates on the Trump administration's handling of coronavirus. ""Without US leadership, it's been hard to pull together a response, and now the developing countries are bearing the brunt of the burden."" #CNNTownHall https://t.co/9Hk04HC5RE https://t.co/WV8F8Kpe0N",26,0,CNNTownHall,143737
2020-06-28T01:30:06.000Z,1277051617720795138,0.619775053389513,5745,1563,"Bill Gates says the current coronavirus picture, globally and in the US, is ""more bleak"" than he would have expected.

The fact that people are still dying in the US shows that the country is ""not even close"" to doing enough to fight the pandemic, he says. https://t.co/w9GzGaqBgJ",26,0,,143737
2020-06-26T00:36:08.000Z,1276313260501790721,0.6467704124056378,738,228,"Bill Gates says it's ""completely false"" that testing is the reason the US has so many coronavirus cases.

""It's fair to say that you can find more cases when you do more testing, but the US is experiencing a rebound even once you factor out the increased testing."" #CNNTownHall https://t.co/NLbdwqRaOT",26,0,CNNTownHall,143737
2020-07-24T01:05:57.000Z,1286467622918221824,0.609284895310671,437,130,"""People's willingness to change distancing — you know, it seems hard,"" Bill Gates says as coronavirus cases continue to surge in the US. ""We just haven't had the message, the leadership in this country like many other countries."" #CNNTownHall https://t.co/IxzvNTVVv3 https://t.co/IAkDNMg1wQ",26,0,CNNTownHall,143737
2020-06-26T01:19:21.000Z,1276324133446529024,0.6171193112492648,4443,1250,"Microsoft founder Bill Gates said the current coronavirus picture, globally and in the US, is ""more bleak"" than he'd have expected.

He said the fact that people are still dying in the US today shows the US is ""not even close"" to doing enough. #CNNTownHall https://t.co/Tjk5EBU9x9",26,0,CNNTownHall,143737
2020-04-07T00:52:37.000Z,1247326379760222209,0.7418296962334243,135,79,"The US Supreme Court ruled in favor of the Republican National Committee and Wisconsin Republicans, blocking a lower court ruling that gave voters an extra six days to submit their ballots from Election Day to April 13. Read the opinion and dissent: https://t.co/8y2k5TwOpb",35,3,,143737
2020-04-07T00:48:14.000Z,1247325276406775809,0.694493157077578,274,122,The US Supreme Court's conservative majority ruled 5-4 to block a lower court ruling to give Wisconsin voters six extra days to turn in their absentee ballots for Tuesday's primary https://t.co/RadjeaMIhQ,35,3,,143737
