text,source,claim_num,group
the (covid 19) cases are going up but it's because the testing is going up,politifact,0,1
every election year has a disease  sars in 2004; avian flu in 2008; swine flu in 2010; mers in 2012; ebola in 2014 and 2018; zika in 2016 and the coronavirus in 2020,politifact,1,1
obama ordered cia to train isis jihadists,politifact,2,3
"says george soros said, im going to bring down the united states by funding black hate groups. well put them into a mental trap and make them blame white people. the black community is the easiest to manipulate.",politifact,3,3
if you paid rent in march or april they got to give you your money back,politifact,4,1
dr fauci: no reason to be wearing a mask,politifact,5,1
drinking boiled garlic water will cure covid 19,snopes,6,1
mike bloomberg owns more wealth than the bottom 125 million americans.,politifact,7,2
says nancy pelosi delayed coronavirus funding so dems could campaign on it,politifact,8,1
Six police officers were killed in 10 days while working during protests against police violence and racial injustice in the spring of 2020. ,snopes,9,3
says donald trump himself has a financial stake in the french company that makes the brand name version of hydroxychloroquine,politifact,10,0
says joe biden was in charge of the h1n1 swine flu epidemic which killed thousands of people the response was one of the worst on record our response is one of the best with fast action of border closings & a 78 approval rating the highest on record his was lowest!,politifact,11,1
dr anthony fauci has known for 15 years that chloroquine and  hydroxychloroquine will not only treat a current case of coronavirus but prevent future cases,politifact,12,1
joe biden wants to end school choice.,politifact,13,3
donald trump owned stock in thermo fisher scientific at a time when his presidential administration was advocating for a covid 19 test that uses thermo fisher equipment,snopes,14,1
says a photo shows a memorial vandalized by black lives matter protesters.,politifact,15,3
says celebrities are calling for a 'total hollywood strike' until trump resigns.,politifact,16,3
bill gates worked to end livestock production and is pushing lab grown meat,politifact,17,0
says joe biden is formally listed as criminal suspect in ukraine case involving his son.,politifact,18,3
private messages sent to individual people during a zoom meeting show up in the end of meeting transcript along with all other public messages,politifact,19,0
says osama bin laden endorsed joe biden,politifact,20,3
george soros owns the wuxi pharma lab located in wuhan china where covid 19 was developed and conveniently broke out,politifact,21,1
texas ranks 3rd highest among states for the number of people who have recovered from the coronavirus,politifact,22,0
here are pictures from trumps tulsa rally!!!,politifact,23,3
congress files charges against nancy pelosi.,politifact,24,3
the white house gift shop is selling coronavirus commemorative coins ,snopes,25,1
bill gates told us about the coronavirus in 2015,politifact,26,0
"says bernie sanders collaborated with marxist regimes in the soviet union, nicaragua and cuba.",politifact,27,3
a letter providing tips on how to protect against the new coronavirus was authored by pathologist james robb,snopes,28,0
"the majority of hunters now want universal background checks, the majority of trump voters.",politifact,29,2
during the flu pandemic of 1918 some cities lifted social distancing measures too fast too soon and created a second wave of pandemic,politifact,30,0
the coronavirus snuck up on us adding that it is a very unforeseen thing,politifact,31,1
"hidden in the cares act was an obscure $135 billion tax break for 43,000 millionaires.",politifact,32,2
chinese doctors confirmed that african people are genetically resistant to new coronavirus,snopes,33,1
"trump just cut the scheduled federal pay raise, stating that he cant do it now because of serious economic conditions in america.",politifact,34,2
says a ballot can be emailed to wisconsin voters even a day before the election.,politifact,35,3
us president donald trump praised china for its transparency in handling the coronavirus outbreak then later criticized the world health organization for doing the same,snopes,36,0
(barack obama) set up anti pandemic programs in 47 vulnerable countries as a way to protect against something like the coronavirus exactly do you know that trump closed 37 of them?,politifact,37,1
"says the media cut out his request of russian hackers to find hillary clintons emails right at the end so that you dont see the laughter, the joke.",politifact,38,3
photo shows wayfair president of operations bill hutcherson with ghislaine maxwell.,politifact,39,3
says the cdc now says that the coronavirus can survive on surfaces for up to 17 days,politifact,40,1
"says the ceo of camping world told trump supporters frankly, dont shop at my business.",politifact,41,3
